1.87500000000000004e-04	1.31610261366847810e-04	1.83833584632658745e-04	1.65838673698149859e-04	8.44990247730092786e-05	-2.91163796255804697e-05	
3.75000000000000008e-04	2.62255429448312173e-04	3.66319148680076972e-04	3.30461280901748794e-04	1.68378432724712080e-04	-5.80192538452312608e-05	
5.62500000000000066e-04	3.91942581615000623e-04	5.47466576772078482e-04	4.93876738812468316e-04	2.51642767398618447e-04	-8.67101882573965982e-05	
7.50000000000000016e-04	5.20678745718274462e-04	7.27285681030277568e-04	6.56093899241994623e-04	3.34296539021168668e-04	-1.15190736980246361e-04	
9.37499999999999965e-04	6.48470899340602915e-04	9.05786201615167816e-04	8.17121549091134186e-04	4.16344224746026175e-04	-1.43462442735870795e-04	
1.12500000000000013e-03	7.75325969158862098e-04	1.08297780727196992e-03	9.76968410825459739e-04	4.97790268896573210e-04	-1.71526836933847039e-04	
1.31250000000000008e-03	9.01250830648619907e-04	1.25887009587142564e-03	1.13564314294757542e-03	5.78639083206624466e-04	-1.99385439754192156e-04	
1.50000000000000003e-03	1.02625230812362824e-03	1.43347259494281732e-03	1.29315434046607691e-03	6.58895047059371536e-04	-2.27039760229708727e-04	
1.68749999999999998e-03	1.15033717501928528e-03	1.60679476219792602e-03	1.44951053536125467e-03	7.38562507724570077e-04	-2.54491296327727303e-04	
1.87499999999999993e-03	1.27351215432087756e-03	1.77884598604590469e-03	1.60472019704756426e-03	8.17645780593987542e-04	-2.81741535031250164e-04	
2.06250000000000010e-03	1.39578391905911185e-03	1.94963558609988967e-03	1.75879173283286752e-03	8.96149149415123017e-04	-3.08791952419499650e-04	
2.25000000000000026e-03	1.51715909282231181e-03	2.11917281367658304e-03	1.91173348837442650e-03	9.74076866523214987e-04	-3.35644013747876332e-04	
2.43750000000000000e-03	1.63764425025693860e-03	2.28746685229011797e-03	2.06355374813163312e-03	1.05143315307155288e-03	-3.62299173527331456e-04	
2.62500000000000016e-03	1.75724591754352765e-03	2.45452681814136700e-03	2.21426073581544418e-03	1.12822219926010463e-03	-3.88758875603157153e-04	
2.81249999999999990e-03	1.87597057284453052e-03	2.62036176060361642e-03	2.36386261483450058e-03	1.20444816456247703e-03	-4.15024553233199814e-04	
3.00000000000000006e-03	1.99382464672555283e-03	2.78498066270524208e-03	2.51236748873791878e-03	1.28011517795122002e-03	-4.41097629165499913e-04	
3.18750000000000023e-03	2.11081452255368817e-03	2.94839244160978583e-03	2.65978340165475610e-03	1.35522733812148966e-03	-4.66979515715363930e-04	
3.37499999999999996e-03	2.22694653687719553e-03	3.11060594909361686e-03	2.80611833873014053e-03	1.42978871371307972e-03	-4.92671614841869989e-04	
3.56250000000000013e-03	2.34222697979051889e-03	3.27162997202122855e-03	2.95138022655810819e-03	1.50380334353083698e-03	-5.18175318223813462e-04	
3.74999999999999986e-03	2.45666209528801714e-03	3.43147323281811807e-03	3.09557693361114245e-03	1.57727523676346642e-03	-5.43492007335095876e-04	
3.93750000000000003e-03	2.57025808160907645e-03	3.59014438994114705e-03	3.23871627066647707e-03	1.65020837320074202e-03	-5.68623053519560074e-04	
4.12500000000000019e-03	2.68302109157663761e-03	3.74765203834624564e-03	3.38080599122916403e-03	1.72260670344912730e-03	-5.93569818065276499e-04	
4.31250000000000036e-03	2.79495723293060865e-03	3.90400470995333222e-03	3.52185379195197896e-03	1.79447414914582384e-03	-6.18333652278284436e-04	
4.50000000000000053e-03	2.90607256865722504e-03	4.05921087410832191e-03	3.66186731305217584e-03	1.86581460317124725e-03	-6.42915897555790847e-04	
4.68749999999999983e-03	3.01637311731508140e-03	4.21327893804212573e-03	3.80085413872513532e-03	1.93663192985995018e-03	-6.67317885458832403e-04	
