5.6434 11.709 10.002 4.78
3.3496 0.23809 11.847 36.26
1.0282 4.2142 17.935 0.61
8.0793 5.6869 23.704 0
1.392 14.865 10.548 19.92
10.712 5.6491 21.174 0
0.11071 1.265 26.015 28.59
16.668 3.5715 23.846 1.27
14.831 15.195 11.701 10.57
-1.9159 0.69958 27.563 23.19
-0.7301 5.7251 29.158 0.11
7.9663 11.141 16.31 0.28
11.033 13.995 10.366 7.68
12.306 17.08 24.963 27.72
2.9118 13.089 12.065 59.46
6.2608 15.475 15.872 15.6
3.0585 -0.096461 10.387 25.82
10.88 1.5355 15.311 0.04
7.1344 -1.6298 21.482 75.76
0.23754 9.0891 23.995 0.02
-0.65034 5.5841 23.888 0.04
5.5866 -1.698 20.718 19.2
10.579 7.6007 28.892 13.99
9.0341 15.371 12.749 58.55
0.088494 13.451 17.954 1.78
0.61005 15.853 16.955 57.77
12.319 11.823 27.666 18.93
9.7764 12.322 16.978 1.71
2.7015 15.221 18.562 25.36
16.6 10.572 22.434 6.25
-0.40211 16.293 18.998 21.01
8.8708 5.4657 14.741 0
15.371 8.7766 10.057 86.85
9.6459 3.8359 20.541 0
15.022 4.4484 28.171 16.95
9.7702 -2.3806 28.589 1.15
11.121 17.249 13.447 9.09
0.045682 15.955 23.936 3.7
-1.377 12.412 25.078 0.06
15.763 11.533 12.485 12.67
-2.2994 -2.1728 10.566 6.31
2.2272 14.504 20.777 1.26
8.3594 14.144 12.483 31.2
2.8866 9.0182 29.392 0.05
8.5236 -2.3241 26.013 50.56
1.9625 13.445 17.757 1.66
14.574 12.245 21.125 8.9
0.032072 -1.4987 12.427 11.83
-1.806 -0.54715 14.514 9.2
11.563 8.4973 10.251 17.49
-1.2575 16.648 21.362 7.31
1.3688 2.3495 24.877 7.37
1.2116 8.9301 29.4 0.06
14.24 2.0999 19.875 0.03
9.7021 13.883 13.136 17.09
-2.3255 -1.2966 19.727 45.12
9.4296 8.68 16.347 0
17.075 8.8979 17.603 0.17
8.3219 12.21 23.385 0.25
2.6014 -1.3703 17.402 15.56
9.8973 1.5064 25.055 93.58
-1.3663 2.5093 26.095 5.36
1.1717 10.092 20.493 0
15.799 2.5689 11.319 0.55
12.004 12.747 28.156 24.11
15.942 -2.418 14.687 0.42
9.6385 16.283 29.004 23.94
8.436 15.615 22.831 18.65
5.1031 7.0228 22.086 0
8.2939 15.827 28.375 17.99
5.2005 16.568 13.479 7.29
