5.6434,11.709,10.002,13.72
3.3496,0.23809,11.847,44.81
1.0282,4.2142,17.935,7.48
8.0793,5.6869,23.704,2.5
1.392,14.865,10.548,28.97
10.712,5.6491,21.174,0.04
0.11071,1.265,26.015,37.96
16.668,3.5715,23.846,9.11
14.831,15.195,11.701,20.09
-1.9159,0.69958,27.563,32.22
-0.7301,5.7251,29.158,3.7
7.9663,11.141,16.31,6.77
11.033,13.995,10.366,16.65
12.306,17.08,24.963,36.43
2.9118,13.089,12.065,68.93
6.2608,15.475,15.872,23.05
3.0585,-0.096461,10.387,35.09
10.88,1.5355,15.311,3.73
7.1344,-1.6298,21.482,85.16
0.23754,9.0891,23.995,0.08
-0.65034,5.5841,23.888,2.11
5.5866,-1.698,20.718,27.06
10.579,7.6007,28.892,23.22
9.0341,15.371,12.749,66.62
0.088494,13.451,17.954,10.28
0.61005,15.853,16.955,66.71
12.319,11.823,27.666,28.18
9.7764,12.322,16.978,10.11
2.7015,15.221,18.562,34.63
16.6,10.572,22.434,15.7
-0.40211,16.293,18.998,30.48
8.8708,5.4657,14.741,1.83
15.371,8.7766,10.057,95.09
9.6459,3.8359,20.541,0.81
15.022,4.4484,28.171,25.83
9.7702,-2.3806,28.589,8.75
11.121,17.249,13.447,18.59
0.045682,15.955,23.936,12.87
-1.377,12.412,25.078,1.01
15.763,11.533,12.485,20.68
-2.2994,-2.1728,10.566,15.44
2.2272,14.504,20.777,9.28
8.3594,14.144,12.483,39.76
2.8866,9.0182,29.392,4.74
8.5236,-2.3241,26.013,59.85
1.9625,13.445,17.757,10.13
14.574,12.245,21.125,18.41
0.032072,-1.4987,12.427,21.11
-1.806,-0.54715,14.514,17.88
11.563,8.4973,10.251,26.94
-1.2575,16.648,21.362,14.79
1.3688,2.3495,24.877,16.79
1.2116,8.9301,29.4,2.4
14.24,2.0999,19.875,1.29
9.7021,13.883,13.136,26.53
-2.3255,-1.2966,19.727,53.74
9.4296,8.68,16.347,1.58
17.075,8.8979,17.603,5.95
8.3219,12.21,23.385,6.65
2.6014,-1.3703,17.402,24.68
9.8973,1.5064,25.055,100.01
-1.3663,2.5093,26.095,14.62
1.1717,10.092,20.493,0.07
15.799,2.5689,11.319,7.25
12.004,12.747,28.156,32.2
15.942,-2.418,14.687,7.08
9.6385,16.283,29.004,32.69
8.436,15.615,22.831,27.91
5.1031,7.0228,22.086,0
8.2939,15.827,28.375,27.22
5.2005,16.568,13.479,15.78
-0.17044,0.0045506,20.113,14.92
-2.2665,16.262,26.542,13.68
-2.3967,0.82689,16.641,21.93
-0.077096,13.493,16.895,13.72
16.105,8.9433,27.577,98.94
14.198,15.411,19.198,39.99
8.2299,13.275,15.714,38.61
7.108,9.2852,10.311,22.91
9.1726,5.9765,26.147,8.38
3.6079,15.161,21.557,12.12
0.98317,13.062,22.241,3.92
-1.6188,5.7068,23.581,2.31
15.675,-2.689,29.535,7.28
4.8346,16.779,22.094,15.71
13.88,8.7972,22.562,5.55
3.0145,9.0396,25,0.08
14.469,12.405,23.961,17.26
14.593,3.7566,23.416,7.11
6.3204,4.945,18.216,0.28
5.3326,3.6506,22.438,5.36
5.9079,16.779,23.556,53.92
1.2744,5.837,16.867,5.28
13.256,14.903,28.077,55.22
10.557,2.7071,15.047,2.18
14.401,7.8573,26.043,24.98
8.7527,11.966,20.38,5.47
12.721,8.6801,19.314,0.87
4.1567,-1.3328,17.558,74.97
-1.1045,16.959,13.632,64.79
